अचानक,aback  Adv,audio_0
एकाएक,aback  Adv,audio_1
२. पीछे,aback  Adv,audio_2
छोड देना,abandon VT,audio_3
त्याग देना,abandon VT,audio_4
त्यागना,abandon VT,audio_5
तजना,abandon VT,audio_6
२. बिना आज्ञा नौकरी छोडना,abandon VT,audio_7
अपने को( दुराचार आदि में) छोड देना,abandon VT,audio_8
दे देना,abandon VT,audio_9
छोडा हुआ,abandoned  A,audio_10
निर्जन( स्थान),abandoned  A,audio_11
२. बिगडा हुआ,abandoned  A,audio_12
इन्द्रिय लोलुप,abandoned  A,audio_13
लम्पट,abandoned  A,audio_14
दुराचारी,abandoned  A,audio_15
आवारा,abandoned  A,audio_16
पूर्ण त्याग,abandonment  N,audio_17
सम्पूर्ण आत्मोत्सर्ग,abandonment  N,audio_18
बिल्कुल छोड देना,abandonment  N,audio_19
कम होना,abate  VI,audio_20
घटना,abate  VI,audio_21
धीमा होना,abate  VI,audio_22
कम करना,abate  VT,audio_23
घटाना,abate  VT,audio_24
धीमा करना,abate  VT,audio_25
मध्यम करना,abate  VT,audio_26
रोक देना,abate  VT,audio_27
समाप्त करना,abate  VT,audio_28
कमी,abatement  N,audio_29
घटती,abatement  N,audio_30
घटाव,abatement  N,audio_31
मन्दापन,abatement  N,audio_32
बट्टा,abatement  N,audio_33
२. त्याग,abatement  N,audio_34
समाप्ति,abatement  N,audio_35
ईसाइयो का मठ,abbey  N,audio_36
गुरुद्वारा,abbey  N,audio_37
कुटी,abbey  N,audio_38
मठ,abbey  N,audio_39
२. महन्त के आधीन साधुओं की मण्डली,abbey  N,audio_40
महन्त,abbot  N,audio_41
मठधारी,abbot  N,audio_42
मठाधिकारी,abbot  N,audio_43
कम करना,abbreviate VT,audio_44
संक्षेप करना,abbreviate VT,audio_45
छोटा करना,abbreviate VT,audio_46
सार निकालना,abbreviate VT,audio_47
संक्षेप,abbreviation N,audio_48
घटाव,abbreviation N,audio_49
सार,abbreviation N,audio_50
लघुरूप,abbreviation N,audio_51
संकेत,abbreviation N,audio_52
२. संक्षिप्त पद्यांश,abbreviation N,audio_53
शब्द या पद का लघुरूप,abbreviation N,audio_54
स्वेच्छा से छोडना,abdicate VTI,audio_55
त्याग करना,abdicate VTI,audio_56
तजना,abdicate VTI,audio_57
पद त्याग करना,abdicate VTI,audio_58
पद त्याग,abdication N,audio_59
पेड,abdomen N,audio_60
पेट,abdomen N,audio_61
कुक्षी,abdomen N,audio_62
उदर,abdomen N,audio_63
उदर सम्बन्धी,abdominal  A,audio_64
पेट का,abdominal  A,audio_65
भगा ले जाना,abduct VI,audio_66
निकाल ले जाना,abduct VI,audio_67
बहका ले जाना,abduct VI,audio_68
किसी को फुसला या धमका कर भगा ले जाना,abduction  N,audio_69
धोका देकर निकाल,abduction  N,audio_70
ले जाना,abduction  N,audio_71
बलात्कार हरण,abduction  N,audio_72
अपहरण,abduction  N,audio_73
बिछौने पर,abed Adv,audio_74
शय्या पर,abed Adv,audio_75
बिछौने में,abed Adv,audio_76
धार्मिक मार्ग से विचलित,aberrant A,audio_77
पथ भ्रष्ट,aberrant A,audio_78
भटका हुआ,aberrant A,audio_79
भ्रम,aberration N,audio_80
विक्षेप,aberration N,audio_81
भूल,aberration N,audio_82
च्युति,aberration N,audio_83
पथ भ्रष्टता,aberration N,audio_84
बुरे काम के लिये उसकाना,abet VT,audio_85
बहकाना,abet VT,audio_86
सहायक होना( अपराध आदि में) ना,abet VT,audio_87
क्षणिक विराम,abeyance N,audio_88
विलंब,abeyance N,audio_89
ठहराव,abeyance N,audio_90
रुकाव,abeyance N,audio_91
थोडे समय के लिये अकर्मण्यता,abeyance N,audio_92
झिझकना,abhor  VT,audio_93
घृणित या निंदा समझना,abhor  VT,audio_94
घृणा करना,abhor  VT,audio_95
डर से सकुचाना,abhor  VT,audio_96
घृणा,abhorrence N,audio_97
विद्वेष,abhorrence N,audio_98
झिझक,abhorrence N,audio_99
बसना,abide  VI,audio_100
डेरा करना,abide  VI,audio_101
टिकना,abide  VI,audio_102
ठहरना,abide  VI,audio_103
रहना,abide  VI,audio_104
२. पालन करना,abide  VI,audio_105
मानना,abide  VI,audio_106
पक्का रहना,abide  VI,audio_107
दृढ रहना,abide  VI,audio_108
३. जो कुछ पडे धैर्य से सह लेना,abide  VI,audio_109
बाट जोहना,abide  VT,audio_110
प्रतीक्षा करना,abide  VT,audio_111
२. सहना,abide  VT,audio_112
सहन करना,abide  VT,audio_113
भुगतना,abide  VT,audio_114
योग्यता,ability N,audio_115
निपुणता,ability N,audio_116
प्रवीणता,ability N,audio_117
सामर्थ्य,ability N,audio_118
गुण,ability N,audio_119
शक्ति,ability N,audio_120
पराक्रम,ability N,audio_121
अधिकार,ability N,audio_122
दक्षता,ability N,audio_123
कमीना,abject A,audio_124
नीच,abject A,audio_125
बुरा,abject A,audio_126
अधम,abject A,audio_127
पतित,abject A,audio_128
घृणा योग्य,abject A,audio_129
घृणित,abject A,audio_130
जलता हुआ,ablaze Adv,audio_131
प्रज्वलित,ablaze Adv,audio_132
जाज्व्ल्यमान,ablaze Adv,audio_133
२. उत्तेजित,ablaze Adv,audio_134
चतुर,able A,audio_135
प्रवीण,able A,audio_136
गुणवान,able A,audio_137
समर्थ,able A,audio_138
योग्य,able A,audio_139
दक्ष,able A,audio_140
निपुण,able A,audio_141
असाधारण,abnormal A,audio_143
असामान्य,abnormal A,audio_144
नियमविरुद्ध,abnormal A,audio_145
व्यवस्था के प्रतिकूल,abnormal A,audio_146
रीतिविरुद्ध,abnormal A,audio_147
अनुचित,abnormal A,audio_148
जहाज पर,aboard Adv,audio_149
नौका पर,aboard Adv,audio_150
जलयान में,aboard Adv,audio_151
घर,abode  N,audio_152
मकान,abode  N,audio_153
डेरा,abode  N,audio_154
वास स्थान,abode  N,audio_155
२. वास स्थिति,abode  N,audio_156
उठा देना,abolish VT,audio_157
मिटाना,abolish VT,audio_158
बन्द करना,abolish VT,audio_159
समाप्त करना,abolish VT,audio_160
क्षय करना,abolish VT,audio_161
नाश करना,abolish VT,audio_162
लोप,abolition  N,audio_163
नाश,abolition  N,audio_164
टूट,abolition  N,audio_165
मिटाव,abolition  N,audio_166
उठाव,abolition  N,audio_167
मन्सूखी,abolition  N,audio_168
घृणित,abominable A,audio_169
घृणा योग्य,abominable A,audio_170
बुरा,abominable A,audio_171
घिनौना,abominable A,audio_172
अरुचिकर,abominable A,audio_173
घृणा,abomination  N,audio_174
विद्वेष,abomination  N,audio_175
अपविघ्नता,abomination  N,audio_176
२. अशुद्ध वा घृणित वस्तु,abomination  N,audio_177
आदि का,aboriginal A,audio_178
आदिम,aboriginal A,audio_179
प्राचीन,aboriginal A,audio_180
पुराना,aboriginal A,audio_181
प्रथम,aboriginal A,audio_182
प्राचीन देशवासी,aborigines N,audio_183
आदि निवासी,aborigines N,audio_184
आदिवासी,aborigines N,audio_185
किसी देश के पहले के लोग,aborigines N,audio_186
गर्भस्राव होना,abort  VI,audio_187
गर्भ गिरना,abort  VI,audio_188
गर्भपात,abortion N,audio_189
पेट गिरना,abortion N,audio_190
अकालोत्पत्ति,abortion N,audio_191
२. कच्चा गर्भ,abortion N,audio_192
कोई अपूर्ण वस्तु,abortion N,audio_193
३भ्रूण हत्या करना,abortion N,audio_194
अधूरा,abortive A,audio_195
कच्चा,abortive A,audio_196
अपूर्ण काल,abortive A,audio_197
२. निष्फल,abortive A,audio_198
वृरथा,abortive A,audio_199
विफल,abortive A,audio_200
३. गर्भपात की औषधि,abortive A,audio_201
बहुतायात से होना,abound VI,audio_202
अधिकता से उत्पन्न होना,abound VI,audio_203
फट पडना,abound VI,audio_204
बह निकलना,abound VI,audio_205
२. भरपूर होना,abound VI,audio_206
परिपूर्ण होना,abound VI,audio_207
भरपूर वा परिपूर्ण रहना,abound VI,audio_208
भरा रहना,abound VI,audio_209
३. भरा रहना,abound VI,audio_210
चारो ओर,about  Adv,audio_211
इधर उधर,about  Adv,audio_212
भिन्न दिशाओं में,about  Adv,audio_213
२. ( वह जाने वाला है या जाने के,about  Adv,audio_214
लिये तैयार है),about  Adv,audio_215
३. उद्यत,about  Adv,audio_216
तैयार,about  Adv,audio_217
४. थोडा बहुत,about  Adv,audio_218
लगभग,about  Adv,audio_219
आसपास,about  Adv,audio_220
५. लगा हुआ,about  Adv,audio_221
चारो ओर,about  Prep,audio_222
आसपास में,about  Prep,audio_223
निकट,about  Prep,audio_224
लगभग,about  Prep,audio_225
२. विषय के बारे में,about  Prep,audio_226
संबंध में,about  Prep,audio_227
३. उत्पन्न करना,about  Prep,audio_228
कारण रूप होना,about  Prep,audio_229
