hindi word	english translation	type	gender	examples	image	audio	category	subcategory	is_translit
व्यापार	business	noun	masc	मैं अगले हफ्ते व्यापार के लिए टोकियो में रहूँगी;  I'll be in Tokyo next week on business.; व्यापार करना; to do business	image0.jpeg	audio0.mp3	Business and Industry	Business	
आर्डर	order	noun	masc	आर्डर की कीमत; price of the order; आर्डर देने के लिए कॉल करना; Call to place an order	image1.jpeg	audio1.mp3	Business and Industry	Business	
संविदा	contract	noun	fem	कृपया संविदा का निरिक्षण करके हस्ताक्षर करें;Please review and sign the contract	image2.jpeg	audio2.mp3	Business and Industry	Business	
बातचीत	negotiation	noun	fem		image3.jpeg	audio3.mp3	Business and Industry	Business	
सौदा	deal	noun	masc	हमने ३ दिन बातचीत की मगर एक सौदा नहीं कर पाये; We negotiated for 3 days, but we couldn't reach a deal	image4.jpeg	audio4.mp3	Business and Industry	Business	
वरिष्ठ	superior	noun	masc	मुझे हर सुबह अपने वरिष्ठ को विवरण देना पड़ता है; I have to report to my superior every morning	image5.jpeg	audio5.mp3	Business and Industry	Company	
अध्यक्ष	president	noun	masc	कंपनी का अध्यक्ष सिर्फ ३६ साल का है; The company president is only 36 years old	image6.jpeg	audio6.mp3	Business and Industry	Company	
कंपनी	company	noun	fem	नये सोफ्टवेअर कंपनी के ३४० कंपनी कर्मचारी है; The new software company has 340 company employees	image7.jpeg	audio7.mp3	Business and Industry	Company	TRUE
वेतन	salary	noun	fem	शिक्षा के बिना गुज़ारा करने लायक वेतन कमाना मुश्किल है; Without an education it is hard to make a livable wage	image8.jpeg	audio8.mp3	Business and Industry	Company	
तनख़्वाह	salary	noun	fem	मुझे हर महीने थोड़ी तनख्वाह और कमीशन मिलती है; I receive a small salary plus commissions each month	image9.jpeg	audio9.mp3	Business and Industry	Company	
बिक्री	sale	noun	fem		image10.jpeg	audio10.mp3	Business and Industry	Company	
विपणन	marketing	noun	masc		image11.jpeg	audio11.mp3	Business and Industry	Company	
विभाग	department	noun	masc	आई टी विभाग को बुलाओ; call the IT department	image12.jpeg	audio12.mp3	Business and Industry	Company	
व्यापारिक दौरा	business trip			क्या एक व्यापारिक दौरे पर जाने का यह आपका पहला अवसर है?; Is this your first time going on a business trip?	image13.jpeg	audio13.mp3	Business and Industry	Company	
दौरा	bonus	noun	masc	मैं कितना काम करती हूँ उस पर मेरे बोनस की रकम निर्भर करती है; The size of my bonus depends on how much work I do	image14.jpeg	audio14.mp3	Business and Industry	Company	TRUE
हिसाब	accounting	noun	masc	हिसाब के कागज़ पात्र; accounting documents	image15.jpeg	audio15.mp3	Business and Industry	Company	
उद्योग	industry	noun	masc	सिर्फ कुछ कम्पनियाँ ही नहीं, सारा उद्योग घट रहा है; the whole industry is in decline, not just a few companies	image16.jpeg	audio16.mp3	Business and Industry	Industry	
छपाई	printing	noun	fem	छपाई उद्योग; printing industry	image17.jpeg	audio17.mp3	Business and Industry	Media	
रेडियो	radio	noun	masc	पोर्टेबल रेडियो; portable radio	image18.jpeg	audio18.mp3	Business and Industry	Media	TRUE
प्रिंट करना	to print	verb		वह महिला एक कागज़ पत्र प्रिंट कर रही है; the woman is printing a document	image19.jpeg	audio19.mp3	Business and Industry	Media	TRUE
प्रकाशित करना	to publish	verb		यह किताब किसने प्रकाशित की; who published this book	image20.jpeg	audio20.mp3	Business and Industry	Media	
प्रचार पुस्तिका	pamphlet	noun	fem	प्रचार पुस्तिका वितरित करना; hand out the pamphlet	image21.jpeg	audio21.mp3	Business and Industry	Media	
उपन्यास	novel	noun	masc	मुझे रहस्यमय उपन्यास पसंद है; I like suspense novels	image22.jpeg	audio22.mp3	Business and Industry	Media	
